"","date","observer","cloud_cover","wind","vista","survey_start","int_seal_adult","int_seal_pup","int_lion_adult","int_lion_pup","swim_seal","swim_lion","humans","dtime","sio_sst","sio_air_temp","predicted_ft"
"83",2021-10-02,"KatGer",20,1,"spur",0.44375,2,0,0,0,1,0,5,2021-10-02 11:00:00,17.3999996185303,17.5,1.653
"84",2021-10-02,"KatGer",20,1,"lot3",0.4625,3,0,0,0,2,0,0,2021-10-02 11:00:00,17.3999996185303,17.5,1.653
"85",2021-09-19,"BriMac",0,2,"zone1",0.513888888888889,0,0,0,0,1,0,21,2021-09-19 12:00:00,16.6000003814697,18.1000003814697,0.793
"86",2021-09-19,"BriMac",0,2,"spur",0.652777777777778,22,0,0,0,0,0,0,2021-09-29 16:00:00,16.3999996185303,19.6000003814697,3.784
"87",2021-09-19,"BriMac",0,2,"lot3",0.590277777777778,0,0,0,0,0,0,0,2021-09-29 14:00:00,16.8999996185303,18,3.792
"88",2022-03-06,"BriMac",0,2,"zone1",0.513888888888889,0,0,0,0,0,0,21,2022-03-06 12:00:00,NA,NA,1.155
"89",2022-03-06,"BriMac",0,2,"spur",0.659722222222222,2,1,0,0,1,0,11,2022-03-06 16:00:00,NA,NA,2.159
"90",2022-03-06,"BriMac",0,2,"lot3",0.631944444444444,0,0,0,0,0,0,0,2022-03-06 15:00:00,NA,NA,1.327
"91",2022-02-27,"BriMac",10,4,"zone1",0.506944444444444,0,0,0,0,0,0,30,2022-02-27 12:00:00,14.3999996185303,11.1000003814697,4.877
"92",2022-02-27,"BriMac",10,4,"spur",0.541666666666667,17,2,0,0,0,0,17,2022-02-27 13:00:00,14.3999996185303,10.6999998092651,5.771
"93",2022-02-27,"BriMac",10,4,"lot3",0.5625,13,1,0,0,0,0,7,2022-02-27 14:00:00,14.1999998092651,11.6999998092651,6.259
"94",2022-02-20,"BriMac",50,2,"zone1",0.513888888888889,0,0,0,0,1,0,30,2022-02-20 12:00:00,15,11.8000001907349,1.361
"95",2022-02-20,"BriMac",50,2,"spur",0.625,5,2,0,0,1,0,11,2022-02-20 15:00:00,15.1000003814697,11.1999998092651,1.871
"96",2022-02-20,"BriMac",50,2,"lot3",0.645833333333333,4,0,0,0,0,0,8,2022-02-20 16:00:00,15.1000003814697,12.1000003814697,2.8
"97",2022-01-23,"BriMac",0,2,"zone1",0.53125,0,0,0,0,0,0,15,2022-01-23 13:00:00,14.3999996185303,13.8000001907349,2.394
"98",2022-01-23,"BriMac",0,2,"spur",0.631944444444444,13,0,0,0,0,0,11,2022-01-23 15:00:00,14.6000003814697,15.3000001907349,2.158
"99",2022-01-23,"BriMac",0,2,"lot3",0.65625,8,0,0,0,0,0,5,2022-01-23 16:00:00,14.5,15.6999998092651,2.516
"100",2022-01-30,"BriMac",20,3,"zone1",0.510416666666667,0,0,0,0,0,0,NA,2022-01-30 12:00:00,15.1000003814697,12.6000003814697,4.31
"101",2022-01-30,"BriMac",20,3,"spur",0.552083333333333,20,0,0,0,0,0,18,2022-01-30 13:00:00,15.1000003814697,12.6000003814697,5.545
"102",2022-01-30,"BriMac",20,3,"lot3",0.572916666666667,14,0,0,0,0,0,0,2022-01-30 14:00:00,15.1000003814697,12.1000003814697,6.57
"103",2022-02-05,"KatGer",0,2,"zone1",0.563194444444444,0,0,0,0,0,0,4,2022-02-05 14:00:00,14.8000001907349,11.5,1.474
"104",2022-02-05,"KatGer",0,2,"spur",0.580555555555556,15,0,0,0,1,0,0,2022-02-05 14:00:00,14.8000001907349,11.5,1.474
"105",2022-02-05,"KatGer",0,2,"lot3",0.602777777777778,16,0,0,0,0,0,5,2022-02-05 14:00:00,14.8000001907349,11.5,1.474
"106",2022-02-12,"KatGer",0,1,"zone1",0.552083333333333,0,0,0,0,0,0,11,2022-02-12 13:00:00,15,16.8999996185303,5.065
"107",2022-02-12,"KatGer",0,1,"spur",0.579861111111111,16,1,0,0,1,0,4,2022-02-12 14:00:00,14.3999996185303,16.5,5.394
"108",2022-02-12,"KatGer",0,1,"lot3",0.614583333333333,10,0,0,0,0,0,2,2022-02-12 15:00:00,14.3000001907349,15.8999996185303,5.279
